STAGE 1 -- all inequivalent 3 x weight-8 classes

raw solutions 10341, inequivalent classes 1057

idx    |U_3|     minwt   raw        column-type counts
198    11330     8       12         2 0 0 0 0 1 1 2 0 3 3 0 0 1 1 
199    11330     8       18         2 0 0 0 0 1 1 2 0 1 3 2 0 1 1 
200    11330     8       18         1 0 0 0 0 2 2 3 1 1 3 1 0 0 0 
201    11330     8       18         2 0 0 0 0 1 1 2 0 1 3 0 2 1 1 
202    11330     8       9          2 0 0 0 0 0 1 3 0 4 1 1 1 1 0 
203    11330     8       9          2 0 0 0 0 1 1 2 0 1 1 2 2 1 1 
204    11330     8       18         1 0 0 1 0 1 2 3 0 2 1 1 1 1 0 
205    11330     8       12         1 0 0 1 1 2 2 1 0 0 2 0 2 2 0 
206    11330     8       9          0 0 1 1 1 3 2 2 0 2 0 0 0 0 2 
207    11330     8       18         0 0 1 1 1 3 2 2 0 2 0 0 2 0 0 
208    11330     8       18         1 0 0 1 1 1 1 3 0 1 3 0 0 1 1 
209    11330     8       9          1 0 0 1 1 1 1 3 0 1 1 2 0 1 1 
210    11330     8       9          0 0 0 2 0 2 2 4 0 2 2 0 0 0 0 
211    11330     8       18         1 0 0 1 0 2 2 2 0 1 3 0 0 1 1 
212    11330     8       9          1 0 0 1 0 2 2 2 0 1 1 0 2 1 1 
213    11330     8       3          0 0 1 1 2 2 2 2 0 0 1 1 1 1 0 
214    11330     8       9          0 0 0 2 1 2 2 3 0 1 1 0 0 1 1 
215    11330     8       18         1 0 0 1 0 1 1 4 0 2 4 0 0 0 0 
216    11330     8       9          1 0 0 1 0 1 1 4 0 2 2 2 0 0 0 
217    11330     8       9          2 0 0 0 0 0 0 4 0 2 2 4 0 0 0 
218    11330     8       9          0 0 1 1 1 1 2 4 0 4 0 0 0 0 0 
219    11330     8       18         2 0 0 0 0 0 1 3 0 2 1 3 1 1 0 
220    11330     8       18         1 0 0 1 0 1 3 2 0 4 2 0 0 0 0 
221    11330     8       24         1 0 0 1 0 1 3 2 0 4 0 0 2 0 0 
222    11330     8       9          1 0 0 0 1 2 2 2 1 0 0 1 2 1 1 
223    11330     8       18         1 0 0 1 0 1 3 2 0 4 0 0 0 2 0 
224    11330     8       18         0 0 1 1 1 1 2 4 0 2 0 2 0 0 0 
225    11330     8       18         0 0 0 2 1 1 3 3 0 2 0 0 0 2 0 
226    11330     8       18         1 0 0 1 0 1 3 2 0 2 2 0 2 0 0 
227    11330     8       18         2 0 0 0 0 0 2 2 0 2 0 2 2 2 0 
228    11330     8       9          2 0 0 0 0 0 2 2 0 4 0 0 2 2 0 
229    11330     8       12         0 0 0 2 1 1 3 3 0 4 0 0 0 0 0 
230    11330     8       18         0 0 0 2 1 1 3 3 2 0 0 0 0 2 0 
231    11330     8       9          1 0 0 0 1 1 2 3 1 3 0 0 1 1 0 
232    11330     8       18         1 0 0 0 1 1 2 3 1 1 0 2 1 1 0 
233    11330     8       18         0 0 1 1 1 2 2 3 0 1 0 1 1 0 1 
234    11330     8       9          1 0 0 0 1 1 1 4 1 1 1 3 0 0 0 
235    11330     8       9          2 0 0 0 0 0 2 2 0 4 0 2 0 2 0 
236    11330     8       9          0 0 0 1 1 2 2 4 1 1 1 1 0 0 0 
237    11330     8       9          0 0 0 1 2 2 2 3 1 0 0 1 0 1 1 
238    11330     8       9          1 0 0 1 1 2 2 1 0 0 0 0 2 2 2 
239    11330     8       9          0 0 0 0 1 3 3 3 2 0 0 0 2 0 0 
240    11330     8       18         1 0 0 1 1 2 2 1 0 0 2 0 0 2 2 
241    11330     8       18         0 0 0 1 1 2 3 3 1 1 0 0 1 1 0 
242    11330     8       9          0 0 0 0 2 2 2 4 2 0 0 2 0 0 0 
243    11330     8       9          1 0 0 1 1 2 2 1 0 0 2 0 2 0 2 
244    11330     8       3          2 0 0 0 1 1 1 1 0 0 2 2 2 2 0 
245    11336     6       3          2 0 0 0 0 0 0 3 0 0 0 4 1 1 3 
246    11336     6       3          0 0 0 1 0 2 2 4 1 0 0 1 3 0 0 
247    11336     6       6          0 0 0 1 0 2 5 1 1 0 1 0 0 3 0 
248    11336     6       6          1 0 0 0 0 1 1 4 1 0 0 3 1 0 2 
