q,n,k,reason,detail
2,122,40,no parity-check matrix,construction listed as 'Missing Construction'
2,122,49,no parity-check matrix,construction listed as 'Missing Construction'
2,122,122,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,123,6,no parity-check matrix,construction listed as 'Missing Construction'
2,123,7,no parity-check matrix,construction listed as 'Missing Construction'
2,123,8,no parity-check matrix,construction listed as 'Missing Construction'
2,123,9,no parity-check matrix,construction listed as 'Missing Construction'
2,123,10,no parity-check matrix,construction listed as 'Missing Construction'
2,123,11,no parity-check matrix,construction listed as 'Missing Construction'
2,123,12,no parity-check matrix,construction listed as 'Missing Construction'
2,123,13,no parity-check matrix,construction listed as 'Missing Construction'
2,123,14,no parity-check matrix,construction listed as 'Missing Construction'
2,123,15,no parity-check matrix,construction listed as 'Missing Construction'
2,123,16,no parity-check matrix,construction listed as 'Missing Construction'
2,123,17,no parity-check matrix,construction listed as 'Missing Construction'
2,123,18,no parity-check matrix,construction listed as 'Missing Construction'
2,123,19,no parity-check matrix,construction listed as 'Missing Construction'
2,123,20,no parity-check matrix,construction listed as 'Missing Construction'
2,123,21,no parity-check matrix,construction listed as 'Missing Construction'
2,123,22,no parity-check matrix,construction listed as 'Missing Construction'
2,123,23,no parity-check matrix,construction listed as 'Missing Construction'
2,123,31,no parity-check matrix,construction listed as 'Missing Construction'
2,123,32,no parity-check matrix,construction listed as 'Missing Construction'
2,123,39,no parity-check matrix,construction listed as 'Missing Construction'
2,123,40,no parity-check matrix,construction listed as 'Missing Construction'
2,123,41,no parity-check matrix,construction listed as 'Missing Construction'
2,123,49,no parity-check matrix,construction listed as 'Missing Construction'
2,123,50,no parity-check matrix,construction listed as 'Missing Construction'
2,123,123,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,124,5,no parity-check matrix,construction listed as 'Missing Construction'
2,124,6,no parity-check matrix,construction listed as 'Missing Construction'
2,124,7,no parity-check matrix,construction listed as 'Missing Construction'
2,124,8,no parity-check matrix,construction listed as 'Missing Construction'
2,124,9,no parity-check matrix,construction listed as 'Missing Construction'
2,124,10,no parity-check matrix,construction listed as 'Missing Construction'
2,124,11,no parity-check matrix,construction listed as 'Missing Construction'
2,124,12,no parity-check matrix,construction listed as 'Missing Construction'
2,124,13,no parity-check matrix,construction listed as 'Missing Construction'
2,124,14,no parity-check matrix,construction listed as 'Missing Construction'
2,124,15,no parity-check matrix,construction listed as 'Missing Construction'
2,124,16,no parity-check matrix,construction listed as 'Missing Construction'
2,124,17,no parity-check matrix,construction listed as 'Missing Construction'
2,124,18,no parity-check matrix,construction listed as 'Missing Construction'
2,124,19,no parity-check matrix,construction listed as 'Missing Construction'
2,124,20,no parity-check matrix,construction listed as 'Missing Construction'
2,124,21,no parity-check matrix,construction listed as 'Missing Construction'
2,124,22,no parity-check matrix,construction listed as 'Missing Construction'
2,124,23,no parity-check matrix,construction listed as 'Missing Construction'
2,124,24,no parity-check matrix,construction listed as 'Missing Construction'
2,124,31,no parity-check matrix,construction listed as 'Missing Construction'
2,124,32,no parity-check matrix,construction listed as 'Missing Construction'
2,124,33,no parity-check matrix,construction listed as 'Missing Construction'
2,124,39,no parity-check matrix,construction listed as 'Missing Construction'
2,124,40,no parity-check matrix,construction listed as 'Missing Construction'
2,124,41,no parity-check matrix,construction listed as 'Missing Construction'
2,124,49,no parity-check matrix,construction listed as 'Missing Construction'
2,124,50,no parity-check matrix,construction listed as 'Missing Construction'
2,124,51,no parity-check matrix,construction listed as 'Missing Construction'
2,124,124,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,125,5,no parity-check matrix,construction listed as 'Missing Construction'
2,125,6,no parity-check matrix,construction listed as 'Missing Construction'
2,125,7,no parity-check matrix,construction listed as 'Missing Construction'
2,125,8,no parity-check matrix,construction listed as 'Missing Construction'
2,125,9,no parity-check matrix,construction listed as 'Missing Construction'
2,125,10,no parity-check matrix,construction listed as 'Missing Construction'
2,125,11,no parity-check matrix,construction listed as 'Missing Construction'
2,125,12,no parity-check matrix,construction listed as 'Missing Construction'
2,125,13,no parity-check matrix,construction listed as 'Missing Construction'
2,125,14,no parity-check matrix,construction listed as 'Missing Construction'
2,125,15,no parity-check matrix,construction listed as 'Missing Construction'
2,125,16,no parity-check matrix,construction listed as 'Missing Construction'
2,125,17,no parity-check matrix,construction listed as 'Missing Construction'
2,125,18,no parity-check matrix,construction listed as 'Missing Construction'
2,125,19,no parity-check matrix,construction listed as 'Missing Construction'
2,125,20,no parity-check matrix,construction listed as 'Missing Construction'
2,125,21,no parity-check matrix,construction listed as 'Missing Construction'
2,125,22,no parity-check matrix,construction listed as 'Missing Construction'
2,125,23,no parity-check matrix,construction listed as 'Missing Construction'
2,125,24,no parity-check matrix,construction listed as 'Missing Construction'
2,125,25,no parity-check matrix,construction listed as 'Missing Construction'
2,125,31,no parity-check matrix,construction listed as 'Missing Construction'
2,125,32,no parity-check matrix,construction listed as 'Missing Construction'
2,125,33,no parity-check matrix,construction listed as 'Missing Construction'
2,125,38,no parity-check matrix,construction listed as 'Missing Construction'
2,125,39,no parity-check matrix,construction listed as 'Missing Construction'
2,125,40,no parity-check matrix,construction listed as 'Missing Construction'
2,125,41,no parity-check matrix,construction listed as 'Missing Construction'
2,125,42,no parity-check matrix,construction listed as 'Missing Construction'
2,125,47,no parity-check matrix,construction listed as 'Missing Construction'
2,125,125,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,126,5,no parity-check matrix,construction listed as 'Missing Construction'
2,126,6,no parity-check matrix,construction listed as 'Missing Construction'
2,126,7,no parity-check matrix,construction listed as 'Missing Construction'
2,126,8,no parity-check matrix,construction listed as 'Missing Construction'
2,126,9,no parity-check matrix,construction listed as 'Missing Construction'
2,126,10,no parity-check matrix,construction listed as 'Missing Construction'
2,126,11,no parity-check matrix,construction listed as 'Missing Construction'
2,126,12,no parity-check matrix,construction listed as 'Missing Construction'
2,126,13,no parity-check matrix,construction listed as 'Missing Construction'
2,126,14,no parity-check matrix,construction listed as 'Missing Construction'
2,126,15,no parity-check matrix,construction listed as 'Missing Construction'
2,126,16,no parity-check matrix,construction listed as 'Missing Construction'
2,126,17,no parity-check matrix,construction listed as 'Missing Construction'
2,126,18,no parity-check matrix,construction listed as 'Missing Construction'
2,126,19,no parity-check matrix,construction listed as 'Missing Construction'
2,126,20,no parity-check matrix,construction listed as 'Missing Construction'
2,126,21,no parity-check matrix,construction listed as 'Missing Construction'
2,126,22,no parity-check matrix,construction listed as 'Missing Construction'
2,126,23,no parity-check matrix,construction listed as 'Missing Construction'
2,126,24,no parity-check matrix,construction listed as 'Missing Construction'
2,126,25,no parity-check matrix,construction listed as 'Missing Construction'
2,126,26,no parity-check matrix,construction listed as 'Missing Construction'
2,126,30,no parity-check matrix,construction listed as 'Missing Construction'
2,126,31,no parity-check matrix,construction listed as 'Missing Construction'
2,126,32,no parity-check matrix,construction listed as 'Missing Construction'
2,126,33,no parity-check matrix,construction listed as 'Missing Construction'
2,126,34,no parity-check matrix,construction listed as 'Missing Construction'
2,126,38,no parity-check matrix,construction listed as 'Missing Construction'
2,126,39,no parity-check matrix,construction listed as 'Missing Construction'
2,126,40,no parity-check matrix,construction listed as 'Missing Construction'
2,126,41,no parity-check matrix,construction listed as 'Missing Construction'
2,126,42,no parity-check matrix,construction listed as 'Missing Construction'
2,126,43,no parity-check matrix,construction listed as 'Missing Construction'
2,126,126,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,127,5,no parity-check matrix,construction listed as 'Missing Construction'
2,127,6,no parity-check matrix,construction listed as 'Missing Construction'
2,127,7,no parity-check matrix,construction listed as 'Missing Construction'
2,127,8,no parity-check matrix,construction listed as 'Missing Construction'
2,127,9,no parity-check matrix,construction listed as 'Missing Construction'
2,127,10,no parity-check matrix,construction listed as 'Missing Construction'
2,127,11,no parity-check matrix,construction listed as 'Missing Construction'
2,127,12,no parity-check matrix,construction listed as 'Missing Construction'
2,127,13,no parity-check matrix,construction listed as 'Missing Construction'
2,127,14,no parity-check matrix,construction listed as 'Missing Construction'
2,127,15,no parity-check matrix,construction listed as 'Missing Construction'
2,127,16,no parity-check matrix,construction listed as 'Missing Construction'
2,127,17,no parity-check matrix,construction listed as 'Missing Construction'
2,127,18,no parity-check matrix,construction listed as 'Missing Construction'
2,127,19,no parity-check matrix,construction listed as 'Missing Construction'
2,127,20,no parity-check matrix,construction listed as 'Missing Construction'
2,127,21,no parity-check matrix,construction listed as 'Missing Construction'
2,127,22,no parity-check matrix,construction listed as 'Missing Construction'
2,127,23,no parity-check matrix,construction listed as 'Missing Construction'
2,127,24,no parity-check matrix,construction listed as 'Missing Construction'
2,127,25,no parity-check matrix,construction listed as 'Missing Construction'
2,127,26,no parity-check matrix,construction listed as 'Missing Construction'
2,127,30,no parity-check matrix,construction listed as 'Missing Construction'
2,127,31,no parity-check matrix,construction listed as 'Missing Construction'
2,127,32,no parity-check matrix,construction listed as 'Missing Construction'
2,127,33,no parity-check matrix,construction listed as 'Missing Construction'
2,127,34,no parity-check matrix,construction listed as 'Missing Construction'
2,127,35,no parity-check matrix,construction listed as 'Missing Construction'
2,127,38,no parity-check matrix,construction listed as 'Missing Construction'
2,127,39,no parity-check matrix,construction listed as 'Missing Construction'
2,127,127,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,128,4,no parity-check matrix,construction listed as 'Missing Construction'
2,128,5,no parity-check matrix,construction listed as 'Missing Construction'
2,128,6,no parity-check matrix,construction listed as 'Missing Construction'
2,128,7,no parity-check matrix,construction listed as 'Missing Construction'
2,128,8,no parity-check matrix,construction listed as 'Missing Construction'
2,128,9,no parity-check matrix,construction listed as 'Missing Construction'
2,128,10,no parity-check matrix,construction listed as 'Missing Construction'
2,128,11,no parity-check matrix,construction listed as 'Missing Construction'
2,128,12,no parity-check matrix,construction listed as 'Missing Construction'
2,128,13,no parity-check matrix,construction listed as 'Missing Construction'
2,128,14,no parity-check matrix,construction listed as 'Missing Construction'
2,128,15,no parity-check matrix,construction listed as 'Missing Construction'
2,128,16,no parity-check matrix,construction listed as 'Missing Construction'
2,128,17,no parity-check matrix,construction listed as 'Missing Construction'
2,128,18,no parity-check matrix,construction listed as 'Missing Construction'
2,128,19,no parity-check matrix,construction listed as 'Missing Construction'
2,128,20,no parity-check matrix,construction listed as 'Missing Construction'
2,128,21,no parity-check matrix,construction listed as 'Missing Construction'
2,128,22,no parity-check matrix,construction listed as 'Missing Construction'
2,128,23,no parity-check matrix,construction listed as 'Missing Construction'
2,128,24,no parity-check matrix,construction listed as 'Missing Construction'
2,128,25,no parity-check matrix,construction listed as 'Missing Construction'
2,128,26,no parity-check matrix,construction listed as 'Missing Construction'
2,128,27,no parity-check matrix,construction listed as 'Missing Construction'
2,128,30,no parity-check matrix,construction listed as 'Missing Construction'
2,128,31,no parity-check matrix,construction listed as 'Missing Construction'
2,128,32,no parity-check matrix,construction listed as 'Missing Construction'
2,128,33,no parity-check matrix,construction listed as 'Missing Construction'
2,128,34,no parity-check matrix,construction listed as 'Missing Construction'
2,128,35,no parity-check matrix,construction listed as 'Missing Construction'
2,128,36,no parity-check matrix,construction listed as 'Missing Construction'
2,128,128,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,129,4,no parity-check matrix,construction listed as 'Missing Construction'
2,129,5,no parity-check matrix,construction listed as 'Missing Construction'
2,129,6,no parity-check matrix,construction listed as 'Missing Construction'
2,129,7,no parity-check matrix,construction listed as 'Missing Construction'
2,129,8,no parity-check matrix,construction listed as 'Missing Construction'
2,129,9,no parity-check matrix,construction listed as 'Missing Construction'
2,129,10,no parity-check matrix,construction listed as 'Missing Construction'
2,129,11,no parity-check matrix,construction listed as 'Missing Construction'
2,129,12,no parity-check matrix,construction listed as 'Missing Construction'
2,129,13,no parity-check matrix,construction listed as 'Missing Construction'
2,129,14,no parity-check matrix,construction listed as 'Missing Construction'
2,129,15,no parity-check matrix,construction listed as 'Missing Construction'
2,129,16,no parity-check matrix,construction listed as 'Missing Construction'
2,129,17,no parity-check matrix,construction listed as 'Missing Construction'
