q,n,k,d,lower_bound,upper_bound,label,n_rows,spectrum,avg_weight,max_weight,x_value,rate_R,delta_avg,delta_max,H_delta_avg,H_delta_max,C,C_prime,n_constructions,matrix_label,code_type,kn,D,peak,past_peak,uniform,spread,H_gap
2,17,11,3,3,3,"[[17,11,3]]_2",6,"{12: 4, 13: 1, 14: 1}",12.5,14,10335464568,0.9784377701965471,0.7352941176470589,0.8235294117647058,0.9995892553410518,0.9887790264818245,0.010341256285277378,0.02115148514450471,1,stabilizer matrix,Semi-Perfect Quantum Code,0.6470588235294118,0.010810228859227333,0.75,True,False,0.08823529411764706,0.010810228859227333
2,18,0,8,8,8,"[[18,0,8]]_2",18,"{8: 14, 10: 4}",8.444444444444445,10,2870962380,0.8727468688924349,0.46913580246913583,0.5555555555555556,0.8704061438148895,0.9358053912305434,0.06305852233810849,-0.002340725077545458,1,stabilizer matrix,Semi-Perfect Quantum Code,0.0,-0.06539924741565395,0.75,False,False,0.08641975308641975,-0.06539924741565395
2,18,16,2,2,2,"[[18,16,2]]_2",2,{18: 2},18.0,18,387420489,0.7924812503605781,1.0,1.0,0.7924812503605781,0.7924812503605781,0.0,0.0,1,stabilizer matrix,Semi-Perfect Quantum Code,0.8888888888888888,0.0,0.75,True,True,0.0,0.0
2,19,12,3,3,3,"[[19,12,3]]_2",7,"{12: 1, 13: 3, 14: 3}",13.285714285714286,14,125651784276,0.9702800053061011,0.6992481203007519,0.7368421052631579,0.9952450498503171,0.9996707469021329,0.029390741596031722,0.024965044544215997,1,stabilizer matrix,Semi-Perfect Quantum Code,0.631578947368421,-0.004425697051815725,0.75,False,False,0.03759398496240598,-0.004425697051815725
2,20,13,3,3,3,"[[20,13,3]]_2",7,"{12: 1, 13: 1, 14: 3, 16: 2}",14.142857142857142,16,584486783415,0.9772094861561808,0.7071428571428571,0.8,0.9965891870230964,0.9949490477321438,0.017739561575963014,0.01937970086691565,1,stabilizer matrix,Semi-Perfect Quantum Code,0.65,0.0016401392909526358,0.75,True,False,0.09285714285714289,0.0016401392909526358
2,20,18,2,2,2,"[[20,18,2]]_2",2,{20: 2},20.0,20,3486784401,0.792481250360578,1.0,1.0,0.7924812503605781,0.7924812503605781,1.1102230246251565e-16,1.1102230246251565e-16,1,stabilizer matrix,Semi-Perfect Quantum Code,0.9,0.0,0.75,True,True,0.0,0.0
2,21,15,3,3,3,"[[21,15,3]]_2",6,{16: 6},16.0,16,875957725629,0.9445731021364843,0.7619047619047619,0.7619047619047619,0.9997244146537061,0.9997244146537061,0.05515131251722183,0.05515131251722183,1,stabilizer matrix,Semi-Perfect Quantum Code,0.7142857142857143,0.0,0.75,True,True,0.0,0.0
2,22,20,2,2,2,"[[22,20,2]]_2",2,{22: 2},22.0,22,31381059609,0.7924812503605781,1.0,1.0,0.7924812503605781,0.7924812503605781,0.0,0.0,1,stabilizer matrix,Semi-Perfect Quantum Code,0.9090909090909091,0.0,0.75,True,True,0.0,0.0
2,23,16,3,3,3,"[[23,16,3]]_2",7,"{14: 2, 17: 3, 18: 2}",16.428571428571427,18,29981218505832,0.9732418315753295,0.7142857142857142,0.782608695652174,0.9976183202551571,0.9978904239542103,0.02464859237888084,0.024376488679827557,1,stabilizer matrix,Semi-Perfect Quantum Code,0.6956521739130435,-0.00027210369905328324,0.75,True,False,0.06832298136645969,-0.00027210369905328324
2,24,17,3,3,3,"[[24,17,3]]_2",7,"{15: 1, 16: 1, 17: 3, 20: 2}",17.428571428571427,20,132167366258697,0.9772783193784472,0.7261904761904762,0.8333333333333334,0.9989313897426134,0.9854122527913255,0.00813393341287827,0.021653070364166194,1,stabilizer matrix,Semi-Perfect Quantum Code,0.7083333333333334,0.013519136951287924,0.75,True,False,0.1071428571428572,0.013519136951287924
2,24,22,2,2,2,"[[24,22,2]]_2",2,{24: 2},24.0,24,282429536481,0.7924812503605781,1.0,1.0,0.7924812503605781,0.7924812503605781,0.0,0.0,1,stabilizer matrix,Semi-Perfect Quantum Code,0.9166666666666666,0.0,0.75,True,True,0.0,0.0
2,25,18,3,3,3,"[[25,18,3]]_2",7,"{16: 2, 17: 1, 18: 1, 20: 3}",18.142857142857142,20,599104030919130,0.9817959973753099,0.7257142857142856,0.8,0.9988886483073253,0.9949490477321438,0.013153050356833895,0.017092650932015396,1,stabilizer matrix,Semi-Perfect Quantum Code,0.72,0.003939600575181501,0.75,True,False,0.0742857142857143,0.003939600575181501
2,26,19,3,3,3,"[[26,19,3]]_2",7,"{18: 2, 19: 2, 20: 1, 22: 2}",19.714285714285715,22,2641702151241855,0.9851997930177698,0.7582417582417583,0.8461538461538461,0.9998683608798185,0.9802521553367941,-0.004947637680975725,0.01466856786204862,1,stabilizer matrix,Semi-Perfect Quantum Code,0.7307692307692307,0.019616205543024345,0.75,True,False,0.08791208791208788,0.019616205543024345
2,26,24,2,2,2,"[[26,24,2]]_2",2,{26: 2},26.0,26,2541865828329,0.7924812503605781,1.0,1.0,0.7924812503605781,0.7924812503605781,0.0,0.0,1,stabilizer matrix,Semi-Perfect Quantum Code,0.9230769230769231,0.0,0.75,True,True,0.0,0.0
2,27,20,3,3,3,"[[27,20,3]]_2",7,"{18: 2, 19: 1, 20: 2, 22: 2}",19.857142857142858,22,10025841753562050,0.9843439423392644,0.7354497354497355,0.8148148148148148,0.9995978496844435,0.9913703979596619,0.007026455620397498,0.015253907345179174,1,stabilizer matrix,Semi-Perfect Quantum Code,0.7407407407407407,0.008227451724781676,0.75,True,False,0.07936507936507935,0.008227451724781676
2,28,2,10,10,10,"[[28,2,10]]_2",26,"{12: 20, 14: 4, 16: 2}",12.615384615384615,16,1517600621899710,0.9005484571138684,0.45054945054945056,0.5714285714285714,0.8535183137888522,0.945460496794599,0.04491203968073054,-0.047030143325016205,1,stabilizer matrix,Semi-Perfect Quantum Code,0.07142857142857142,-0.09194218300574675,0.75,False,False,0.1208791208791209,-0.09194218300574675
2,28,21,3,3,3,"[[28,21,3]]_2",7,"{19: 1, 21: 2, 22: 3, 23: 1}",21.428571428571427,23,41487992345114640,0.9857775600591471,0.7653061224489796,0.8214285714285714,0.9995429872493611,0.9894376762580608,0.00366011619891371,0.013765427190214008,1,stabilizer matrix,Semi-Perfect Quantum Code,0.75,0.010105310991300298,0.75,True,False,0.05612244897959189,0.010105310991300298
2,28,26,2,2,2,"[[28,26,2]]_2",2,{28: 2},28.0,28,22876792454961,0.7924812503605781,1.0,1.0,0.7924812503605781,0.7924812503605781,0.0,0.0,1,stabilizer matrix,Semi-Perfect Quantum Code,0.9285714285714286,0.0,0.75,True,True,0.0,0.0
2,29,1,11,11,11,"[[29,1,11]]_2",28,"{12: 20, 14: 4, 16: 4}",12.857142857142858,16,3319859787323490,0.888966271286901,0.4433497536945813,0.5517241379310345,0.8467064404702166,0.9333643540414465,0.04439808275454549,-0.042259830816684385,1,stabilizer matrix,Semi-Perfect Quantum Code,0.034482758620689655,-0.08665791357122987,0.75,False,False,0.10837438423645318,-0.08665791357122987
2,29,22,3,3,3,"[[29,22,3]]_2",7,"{20: 1, 21: 2, 22: 4}",21.428571428571427,22,128796446124962460,0.9799632827389999,0.7389162561576355,0.7586206896551724,0.9997659572180604,0.9998559277610563,0.019892645022056343,0.019802674479060478,1,stabilizer matrix,Semi-Perfect Quantum Code,0.7586206896551724,-8.997054299586527e-05,0.75,True,False,0.019704433497536998,-8.997054299586527e-05
2,30,0,12,12,12,"[[30,0,12]]_2",30,"{12: 14, 14: 12, 16: 4}",13.333333333333334,16,7001487510207975,0.8772763814599817,0.4444444444444445,0.5333333333333333,0.847751918968257,0.9210524828497934,0.043776101389811695,-0.02952446249172469,1,stabilizer matrix,Semi-Perfect Quantum Code,0.0,-0.07330056388153638,0.75,False,False,0.08888888888888886,-0.07330056388153638
2,30,23,3,3,3,"[[30,23,3]]_2",7,"{21: 2, 22: 1, 24: 4}",22.857142857142858,24,501028428664313550,0.9799611679706837,0.761904761904762,0.8,0.9997244146537061,0.9949490477321438,0.014987879761460099,0.01976324668302243,1,stabilizer matrix,Semi-Perfect Quantum Code,0.7666666666666667,0.0047753669215623296,0.75,True,False,0.03809523809523808,0.0047753669215623296
2,30,28,2,2,2,"[[30,28,2]]_2",2,{30: 2},30.0,30,205891132094649,0.7924812503605781,1.0,1.0,0.7924812503605781,0.7924812503605781,0.0,0.0,1,stabilizer matrix,Semi-Perfect Quantum Code,0.9333333333333333,0.0,0.75,True,True,0.0,0.0
2,31,24,3,3,3,"[[31,24,3]]_2",7,"{22: 1, 23: 2, 24: 4}",23.428571428571427,24,2117983812080961825,0.9818935043663186,0.7557603686635944,0.7741935483870968,0.9999358403444848,0.9988484059288694,0.01695490156255075,0.01804233597816618,1,stabilizer matrix,Semi-Perfect Quantum Code,0.7741935483870968,0.0010874344156154292,0.75,True,False,0.018433179723502353,0.0010874344156154292
2,32,25,3,3,3,"[[32,25,3]]_2",7,{24: 7},24.0,24,2970678593568102300,0.9588359098778176,0.75,0.75,1.0,1.0,0.04116409012218236,0.04116409012218236,1,stabilizer matrix,Semi-Perfect Quantum Code,0.78125,0.0,0.75,False,True,0.0,0.0
2,32,30,2,2,2,"[[32,30,2]]_2",2,{32: 2},32.0,32,1853020188851841,0.7924812503605781,1.0,1.0,0.7924812503605781,0.7924812503605781,0.0,0.0,1,stabilizer matrix,Semi-Perfect Quantum Code,0.9375,0.0,0.75,True,True,0.0,0.0
2,33,26,3,3,3,"[[33,26,3]]_2",7,"{23: 4, 25: 1, 28: 2}",24.714285714285715,28,25907364185753409084,0.9771211522137198,0.748917748917749,0.8484848484848485,0.9999977491197334,0.9792178434389638,0.0020966912252440295,0.022876596906013624,1,stabilizer matrix,Semi-Perfect Quantum Code,0.7878787878787878,0.020779905680769595,0.75,True,False,0.09956709956709954,0.020779905680769595
2,34,27,3,3,3,"[[34,27,3]]_2",7,"{24: 3, 25: 1, 27: 1, 28: 2}",25.714285714285715,28,153265687479237179484,0.9860970094998179,0.7563025210084033,0.8235294117647058,0.9999231570175591,0.9887790264818245,0.002682016982006541,0.013826147517741139,1,stabilizer matrix,Semi-Perfect Quantum Code,0.7941176470588235,0.011144130535734598,0.75,True,False,0.06722689075630249,0.011144130535734598
2,34,32,2,2,2,"[[34,32,2]]_2",2,{34: 2},34.0,34,16677181699666569,0.792481250360578,1.0,1.0,0.7924812503605781,0.7924812503605781,1.1102230246251565e-16,1.1102230246251565e-16,1,stabilizer matrix,Semi-Perfect Quantum Code,0.9411764705882353,0.0,0.75,True,True,0.0,0.0
2,35,28,3,3,3,"[[35,28,3]]_2",7,{26: 7},26.0,26,179474689799106734340,0.9611763185974039,0.7428571428571429,0.7428571428571429,0.9999024703882098,0.9999024703882098,0.03872615179080585,0.03872615179080585,1,stabilizer matrix,Semi-Perfect Quantum Code,0.8,0.0,0.75,False,True,0.0,0.0
2,36,29,3,3,3,"[[36,29,3]]_2",7,"{26: 2, 27: 5}",26.714285714285715,27,1364007642473211180984,0.9751158572274236,0.7420634920634921,0.75,0.9998796756170587,1.0,0.024884142772576445,0.02476381838963515,1,stabilizer matrix,Semi-Perfect Quantum Code,0.8055555555555556,-0.00012032438294129477,0.75,False,False,0.007936507936507908,-0.00012032438294129477
2,36,34,2,2,2,"[[36,34,2]]_2",2,{36: 2},36.0,36,150094635296999121,0.7924812503605781,1.0,1.0,0.7924812503605781,0.7924812503605781,0.0,0.0,1,stabilizer matrix,Semi-Perfect Quantum Code,0.9444444444444444,0.0,0.75,True,True,0.0,0.0
2,37,30,3,3,3,"[[37,30,3]]_2",7,"{27: 4, 28: 1, 32: 2}",28.571428571428573,32,6309907145672565963429,0.9786230914569803,0.7722007722007722,0.8648648648648649,0.9990321791269404,0.9710666767150179,-0.007556414741962447,0.02040908766996008,1,stabilizer matrix,Semi-Perfect Quantum Code,0.8108108108108109,0.027965502411922527,0.75,True,False,0.09266409266409262,0.027965502411922527
2,38,31,3,3,3,"[[38,31,3]]_2",7,"{27: 1, 28: 4, 29: 2}",28.142857142857142,29,31178233803536233091892,0.9831968064675558,0.7406015037593985,0.7631578947368421,0.9998314746894443,0.9996629494748603,0.016466143007304535,0.016634668221888527,1,stabilizer matrix,Semi-Perfect Quantum Code,0.8157894736842105,0.00016852521458399217,0.75,True,False,0.02255639097744362,0.00016852521458399217
2,38,36,2,2,2,"[[38,36,2]]_2",2,{38: 2},38.0,38,1350851717672992089,0.7924812503605781,1.0,1.0,0.7924812503605781,0.7924812503605781,0.0,0.0,1,stabilizer matrix,Semi-Perfect Quantum Code,0.9473684210526315,0.0,0.75,True,True,0.0,0.0
2,40,33,3,3,3,"[[40,33,3]]_2",7,"{30: 5, 32: 2}",30.571428571428573,32,317031719664159261089757,0.9758621671818686,0.7642857142857143,0.8,0.9996022730918119,0.9949490477321438,0.019086880550275187,0.023740105909943354,1,stabilizer matrix,Semi-Perfect Quantum Code,0.825,0.004653225359668167,0.75,True,False,0.03571428571428568,0.004653225359668167
