q,n,M,usable
2,187,0.006490031871282276,True
2,188,0.004612140331710313,True
2,189,0.007026097109443685,True
2,190,0.005304829770089614,True
2,191,0.00542745060303873,True
2,192,0.005609367094664974,True
2,193,0.005318372730540255,True
2,194,0.005325265220556874,True
2,195,0.006147939487283427,True
2,196,0.0067159713760566175,True
2,197,0.006101056726824483,True
2,198,0.005493622881941884,True
2,199,0.005362119071645077,True
2,200,0.006354008164165426,True
2,201,0.004805033483233023,True
2,202,0.005227327132498405,True
2,203,0.0051799992125759475,True
2,204,0.0067154342756127194,True
2,205,0.005988904283381613,True
2,206,0.006053189394191194,True
2,207,0.00497149486462789,True
2,208,0.004519167803411994,True
2,209,0.004926527529086733,True
2,210,0.006042910866429052,True
2,211,0.0053730388224833,True
2,212,0.0052363514276626555,True
2,213,0.005002306651549326,True
2,214,0.005915051800484128,True
2,215,0.005873891746444149,True
2,216,0.004818395723532043,True
2,217,0.005876782542422743,True
2,218,0.005676190436150419,True
2,219,0.00490247707983027,True
2,220,0.005232736300687324,True
2,221,0.0048109022585874905,True
2,222,0.004123630974606329,True
2,223,0.005987343652001931,True
2,224,0.00553922359768777,True
2,225,0.005134894596188766,True
2,226,0.004796175733550845,True
2,227,0.0053603624263242056,True
2,228,0.004766983929309854,True
2,229,0.005553916227789668,True
2,230,0.0045755820541185654,True
2,231,0.006984209775265038,True
2,232,0.003997406194050868,True
2,233,0.004889317073870969,True
2,234,0.004825466311013549,True
2,235,0.00488725939868051,True
2,236,0.00408362510209026,True
2,237,0.005119425780101494,True
2,238,0.004499754703390257,True
2,239,0.004737052972240696,True
2,240,0.0040156655657651585,True
2,241,0.00393113120814681,True
2,242,0.004468087449213898,True
2,243,0.005609971471409181,True
2,244,0.004416509898878207,True
2,245,0.0044631224945840264,True
2,246,0.0051848358582609055,True
2,247,0.004597970864526624,True
2,248,0.006241457185391375,True
2,249,0.004643328813412451,True
2,250,0.005445126752953833,True
2,251,0.004457166017512448,True
2,252,0.005714102771108731,True
2,253,0.004594148408002652,True
2,254,0.005145855430280677,True
2,255,0.0052845787784431275,True
2,256,0.00431770896372663,True
3,2,0.0,False
3,3,-1.1102230246251565e-16,False
3,4,0.09819731517859298,True
3,5,0.08124560543000492,True
3,6,0.0842756220830202,True
3,7,0.060134569538556115,True
3,8,0.06636080005243628,True
3,9,0.0656287901259397,True
3,10,0.06294345847213179,True
3,11,-2.220446049250313e-16,False
3,12,0.01520103402680617,True
3,13,0.01942638807384922,True
3,14,0.014525156221395163,True
3,15,0.015281787166632088,True
3,16,0.019471857904408307,True
3,17,0.012605740463141113,True
3,18,0.014544864110768163,True
3,19,0.0060647973603763505,True
3,20,0.008259859103082356,True
3,21,0.008252125717192249,True
3,22,0.008188719553744672,True
3,23,0.008083548940965524,True
3,24,0.007298991320551895,True
3,25,0.007335856341202263,True
3,26,0.007626616572077416,True
3,27,0.014672417727563558,True
3,28,0.023399899372284705,True
3,29,-1.1102230246251565e-16,False
3,30,-1.1102230246251565e-16,False
3,31,0.008024419692545526,True
3,32,0.017044465641600448,True
3,33,0.007818210729106156,True
3,34,0.011776944777817211,True
3,35,0.012805194035283352,True
3,36,0.00723102508198703,True
3,37,0.010788001259057989,True
3,38,0.010992811081317111,True
3,39,0.00810622468183364,True
3,40,0.008288680098266776,True
3,41,0.01201771482377434,True
3,42,0.01556520967856545,True
3,43,0.015267243684378706,True
3,44,0.01124348993780111,True
3,45,0.01090374700321739,True
3,46,0.013600515697871907,True
3,47,0.01288966456110574,True
3,48,0.0125307644614987,True
3,49,0.017464316782347944,True
3,50,0.01194929208751383,True
3,51,0.016813205398237274,True
3,52,0.011471287181744949,True
3,53,0.011712466802111132,True
3,54,0.015922171030591015,True
3,55,0.010811673921685916,True
3,56,0.010065800112167733,True
3,57,0.009766459060768451,True
3,58,0.009945589504717134,True
3,59,0.009485162803718694,True
3,60,0.009843785280056472,True
3,61,0.0145282212134632,True
3,62,0.009087695819705255,True
3,63,0.00853121985198213,True
3,64,0.013875774929324458,True
3,65,0.009062877585527485,True
3,66,0.006839963220580891,True
3,67,0.008733785294770424,True
3,68,0.009281482332436752,True
3,69,0.00926556310264004,True
3,70,0.012731459075394969,True
3,71,0.009210131400687604,True
3,72,0.009171869473445282,True
3,73,0.008354355046303108,True
3,74,0.008268874649104085,True
3,75,0.007800377907807188,True
3,76,0.007809083511543191,True
3,77,0.007686296609882071,True
3,78,0.0076285627201000406,True
3,79,0.007570483027142805,True
