target,regime,q,features,n_features,R2,rmse,n_codes
C'-C,below entropy peak,3,"n, k",5,0.30712572933149396,0.002167374812853817,80
C'-C,below entropy peak,3,"n, k + delta",7,0.8689210107341985,0.0009426996521861813,80
C'-C,below entropy peak,4,n only,2,0.054594790597349285,0.0030730046867946757,56
C'-C,below entropy peak,4,"n, k",5,0.07433362074912131,0.003040755298667964,56
C'-C,below entropy peak,4,"n, k + delta",7,0.8643214516497049,0.0011641523556238371,56
C'-C,below entropy peak,5,n only,2,0.07799138276631756,0.0007065744822176091,87
C'-C,below entropy peak,5,"n, k",5,0.08820375724363905,0.0007026504974162314,87
C'-C,below entropy peak,5,"n, k + delta",7,0.8844274817456398,0.00025015993022446626,87
C'-C,below entropy peak,7,n only,2,0.02171435137076072,0.000149991345778,207
C'-C,below entropy peak,7,"n, k",5,0.03234265321300145,0.00014917435189473245,207
C'-C,below entropy peak,7,"n, k + delta",7,0.9999679740886798,8.581913027688874e-07,207
C'-C,below entropy peak,8,n only,2,,0.0,308
C'-C,below entropy peak,8,"n, k",5,,0.0,308
C'-C,below entropy peak,8,"n, k + delta",7,,0.0,308
C'-C,below entropy peak,pooled,n only,2,0.00558128155828197,0.006703297181953751,779
C'-C,below entropy peak,pooled,"n, k",5,0.2796106705428524,0.005705417948870693,779
C'-C,below entropy peak,pooled,"n, k + delta",7,0.7856099018376785,0.003112477280144662,779
C'-C,below entropy peak,pooled,"n, q",4,0.24776345881608908,0.005830167624967131,779
C'-C,below entropy peak,pooled,"n, k, q",8,0.5774216213305303,0.004369758789779462,779
C'-C,below entropy peak,pooled,"n, k, q + delta",9,0.8017057923400779,0.0029933592528096817,779
C'-C,past entropy peak,2,n only,2,0.041938301322827054,0.0031343111721603067,343
C'-C,past entropy peak,2,"n, k",5,0.16132116316795153,0.0029325350641743017,343
C'-C,past entropy peak,2,"n, k + delta",7,0.4074062653295887,0.002465039593447754,343
C'-C,past entropy peak,3,n only,2,0.007834698202776824,0.0026809740906843845,169
C'-C,past entropy peak,3,"n, k",5,0.05908507254073614,0.002610813074203602,169
C'-C,past entropy peak,3,"n, k + delta",7,0.35204329189709904,0.0021665743374419274,169
C'-C,past entropy peak,4,n only,2,0.017077646017668924,0.0016331023029496552,180
C'-C,past entropy peak,4,"n, k",5,0.03725427263852077,0.0016162538974831364,180
C'-C,past entropy peak,4,"n, k + delta",7,0.1307668127519379,0.0015357549890776354,180
C'-C,past entropy peak,5,n only,2,0.046065113778036126,0.0008513156058103657,158
C'-C,past entropy peak,5,"n, k",5,0.14944569300879662,0.000803863395001026,158
C'-C,past entropy peak,5,"n, k + delta",7,0.2596679482002141,0.0007499710597020583,158
C'-C,past entropy peak,7,n only,2,0.01867996208325584,0.0005957912955844364,146
C'-C,past entropy peak,7,"n, k",5,0.5215635366071392,0.00041600730439956147,146
C'-C,past entropy peak,7,"n, k + delta",7,0.5399767029842552,0.0004079235078649026,146
C'-C,past entropy peak,8,n only,2,0.08938405675528682,0.00047122445903328123,134
C'-C,past entropy peak,8,"n, k",5,0.7516894249229256,0.00024606951174652034,134
C'-C,past entropy peak,8,"n, k + delta",7,0.8393970276729567,0.0001978959876600699,134
C'-C,past entropy peak,pooled,n only,2,0.0010152350947820743,0.002243172505534418,1130
C'-C,past entropy peak,pooled,"n, k",5,0.08896158429109524,0.002142158422623555,1130
C'-C,past entropy peak,pooled,"n, k + delta",7,0.22806820441872944,0.0019718446912351368,1130
C'-C,past entropy peak,pooled,"n, q",4,0.06295629888883403,0.002172516899940297,1130
C'-C,past entropy peak,pooled,"n, k, q",8,0.10606237856030931,0.002121958315255723,1130
C'-C,past entropy peak,pooled,"n, k, q + delta",9,0.25596167004410364,0.0019358909756071341,1130
