q,n,k,d,label,delta_avg,delta_max,C,C_prime,D,past_peak,uniform
2,70,68,2,"[[70,68,2]]_2",1.0,1.0,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,True,True
2,71,63,3,"[[71,63,3]]_2",0.7535211267605634,0.7605633802816901,0.01571256521059816,0.015905351117106892,0.00019278590650873006,True,False
2,72,64,3,"[[72,64,3]]_2",0.7430555555555556,0.75,0.016202772470099824,0.016110570080040354,-9.22023900594704e-05,False,False
2,72,70,2,"[[72,70,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,73,65,3,"[[73,65,3]]_2",0.7328767123287672,0.7397260273972602,0.01661587866212777,0.016261355248563647,-0.00035452341356412287,False,False
2,74,66,3,"[[74,66,3]]_2",0.7432432432432432,0.7567567567567568,0.015475801391308885,0.015476856534429762,1.0551431208760675e-06,True,False
2,74,72,2,"[[74,72,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,75,67,3,"[[75,67,3]]_2",0.7466666666666667,0.7466666666666667,0.02163900548715747,0.02163900548715747,0.0,False,True
2,76,68,3,"[[76,68,3]]_2",0.756578947368421,0.7631578947368421,0.014783909431184572,0.015037207454625778,0.00025329802344120633,True,False
2,76,74,2,"[[76,74,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,77,69,3,"[[77,69,3]]_2",0.7467532467532467,0.7532467532467533,0.015230924099743914,0.01523104114747964,1.1704773572596139e-07,True,False
2,78,70,3,"[[78,70,3]]_2",0.75,0.7692307692307693,0.014125029629324715,0.014849149167452946,0.0007241195381282317,True,False
2,78,76,2,"[[78,76,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,79,71,3,"[[79,71,3]]_2",0.7531645569620253,0.759493670886076,0.014586191516520852,0.014741742509825628,0.00015555099330477606,True,False
2,80,72,3,"[[80,72,3]]_2",0.75,0.75,0.020535656352199894,0.020535656352199894,0.0,False,True
2,80,78,2,"[[80,78,2]]_2",1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,True,True
2,81,73,3,"[[81,73,3]]_2",0.7592592592592593,0.7901234567901234,0.005509633015142068,0.00856195834400486,0.0030523253288627927,True,False
2,82,80,2,"[[82,80,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,83,74,3,"[[83,74,3]]_2",0.7028112449799198,0.7710843373493976,0.005926616649896133,0.002676967666749075,-0.0032496489831470576,True,False
2,84,75,3,"[[84,75,3]]_2",0.746031746031746,0.7857142857142857,0.006591544751197498,0.009099891517036052,0.002508346765838554,True,False
2,84,82,2,"[[84,82,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,85,77,3,"[[85,77,3]]_2",0.7529411764705882,0.7529411764705882,0.01954941146726108,0.01954941146726108,0.0,True,True
2,86,84,2,"[[86,84,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,87,78,3,"[[87,78,3]]_2",0.7598978288633461,0.8505747126436781,-0.012826632728199394,0.00871860186178397,0.021545234589983364,True,False
