STAGE-1 UNDETECTED SET U_8   (218 errors)
IIIXYXIYIIIIII  X_3 Y_4 X_5 Y_7
IIIYXYIZIIIIII  Y_3 X_4 Y_5 Z_7
IIIXZIIIYIIYII  X_3 Z_4 Y_8 Y_11
IIIYZIIIZIIYII  Y_3 Z_4 Z_8 Y_11
IIIXZIIIYIIZII  X_3 Z_4 Y_8 Z_11
IIIYZIIIZIIZII  Y_3 Z_4 Z_8 Z_11
IIIZZIIIXIIIIY  Z_3 Z_4 X_8 Y_13
IIIYIYYIIIIYII  Y_3 Y_5 Y_6 Y_11
IIIYIYYIIIIZII  Y_3 Y_5 Y_6 Z_11
IIIZIXZIIIIIIZ  Z_3 X_5 Z_6 Z_13
IIIZIZIXIIIIIY  Z_3 Z_5 X_7 Y_13
IIIYIZIIIIXIIX  Y_3 Z_5 X_10 X_13
IIIYIZIIIIYIIX  Y_3 Z_5 Y_10 X_13
IIIYIIXIYIXIII  Y_3 X_6 Y_8 X_10
IIIXIIXIZIXIII  X_3 X_6 Z_8 X_10
IIIYIIXIYIYIII  Y_3 X_6 Y_8 Y_10
IIIXIIXIZIYIII  X_3 X_6 Z_8 Y_10
IIIXIIYIIIIIYX  X_3 Y_6 Y_12 X_13
IIIXIIYIIIIIZX  X_3 Y_6 Z_12 X_13
IIIXIIIXIIXIIZ  X_3 X_7 X_10 Z_13
IIIXIIIXIIYIIZ  X_3 X_7 Y_10 Z_13
IIIZIIIIXXZIII  Z_3 X_8 X_9 Z_10
IIIZIIIIXXIXII  Z_3 X_8 X_9 X_11
IIIZIIIIXXIIXI  Z_3 X_8 X_9 X_12
IIIZIIIIXIZXII  Z_3 X_8 Z_10 X_11
IIIZIIIIXIZIXI  Z_3 X_8 Z_10 X_12
IIIZIIIIXIIXXI  Z_3 X_8 X_11 X_12
IIIXIIIIYIIYIY  X_3 Y_8 Y_11 Y_13
IIIYIIIIZIIYIY  Y_3 Z_8 Y_11 Y_13
IIIXIIIIYIIZIY  X_3 Y_8 Z_11 Y_13
IIIYIIIIZIIZIY  Y_3 Z_8 Z_11 Y_13
IIIIZYYIZIIIII  Z_4 Y_5 Y_6 Z_8
IIIIZZIXXIIIII  Z_4 Z_5 X_7 X_8
IIIIXIYZIIIYII  X_4 Y_6 Z_7 Y_11
IIIIXIYZIIIZII  X_4 Y_6 Z_7 Z_11
IIIIXIZIYYIIII  X_4 Z_6 Y_8 Y_9
IIIIXIZIYZIIII  X_4 Z_6 Y_8 Z_9
IIIIZIIIIXZIIY  Z_4 X_9 Z_10 Y_13
IIIIZIIIIXIXIY  Z_4 X_9 X_11 Y_13
IIIIZIIIIXIIXY  Z_4 X_9 X_12 Y_13
IIIIZIIIIIZXIY  Z_4 Z_10 X_11 Y_13
IIIIZIIIIIZIXY  Z_4 Z_10 X_12 Y_13
IIIIZIIIIIIXXY  Z_4 X_11 X_12 Y_13
IIIIIXYXYIIIII  X_5 Y_6 X_7 Y_8
IIIIIYZXIIIIIX  Y_5 Z_6 X_7 X_13
IIIIIZXIYIIIIX  Z_5 X_6 Y_8 X_13
IIIIIYYIZIIIIY  Y_5 Y_6 Z_8 Y_13
IIIIIXZIXIIIIZ  X_5 Z_6 X_8 Z_13
IIIIIZIXXIIIIY  Z_5 X_7 X_8 Y_13
IIIIIIXXZIIIIZ  X_6 X_7 Z_8 Z_13
IIIIIIIIIXZXXI  X_9 Z_10 X_11 X_12
