Stage-1 undetected error set U_3
size = 11186   (weights 1/2/3/4 = 14/119/1148/9905)
  E160    = XIIIIZIIIIIIZI
  E161    = YIIIIZIIIIIIZI
  E162    = ZIIIIZIIIIIIZI
  E163    = XIIIIIXXIIIIII
  E164    = YIIIIIXXIIIIII
  E165    = ZIIIIIXXIIIIII
  E166    = XIIIIIYIXIIIII
  E167    = YIIIIIYIXIIIII
  E168    = ZIIIIIYIXIIIII
  E169    = XIIIIIYIIXIIII
  E170    = YIIIIIYIIXIIII
  E171    = ZIIIIIYIIXIIII
  E172    = XIIIIIXIIIXIII
  E173    = YIIIIIXIIIXIII
  E174    = ZIIIIIXIIIXIII
  E175    = XIIIIIXIIIIXII
  E176    = YIIIIIXIIIIXII
  E177    = ZIIIIIXIIIIXII
  E178    = XIIIIIYIIIIIXI
  E179    = YIIIIIYIIIIIXI
  E180    = ZIIIIIYIIIIIXI
  E181    = XIIIIIZIIIIIIZ
  E182    = YIIIIIZIIIIIIZ
  E183    = ZIIIIIZIIIIIIZ
  E184    = XIIIIIIYYIIIII
  E185    = YIIIIIIYYIIIII
  E186    = ZIIIIIIYYIIIII
  E187    = XIIIIIIYIYIIII
  E188    = YIIIIIIYIYIIII
  E189    = ZIIIIIIYIYIIII
  E190    = XIIIIIIXIIXIII
  E191    = YIIIIIIXIIXIII
  E192    = ZIIIIIIXIIXIII
  E193    = XIIIIIIXIIIXII
  E194    = YIIIIIIXIIIXII
  E195    = ZIIIIIIXIIIXII
  E196    = XIIIIIIZIIIIZI
  E197    = YIIIIIIZIIIIZI
  E198    = ZIIIIIIZIIIIZI
  E199    = XIIIIIIYIIIIIX
  E200    = YIIIIIIYIIIIIX
  E201    = ZIIIIIIYIIIIIX
  E202    = XIIIIIIIXXIIII
  E203    = YIIIIIIIXXIIII
  E204    = ZIIIIIIIXXIIII
  E205    = XIIIIIIIYYIIII
  E206    = YIIIIIIIYYIIII
  E207    = ZIIIIIIIYYIIII
  E208    = XIIIIIIIZZIIII
  E209    = YIIIIIIIZZIIII
  E210    = ZIIIIIIIZZIIII
  E211    = XIIIIIIIZIZIII
  E212    = YIIIIIIIZIZIII
  E213    = ZIIIIIIIZIZIII
  E214    = XIIIIIIIZIIZII
  E215    = YIIIIIIIZIIZII
  E216    = ZIIIIIIIZIIZII
  E217    = XIIIIIIIXIIIXI
  E218    = YIIIIIIIXIIIXI
  E219    = ZIIIIIIIXIIIXI
  E220    = XIIIIIIIYIIIIX
  E221    = YIIIIIIIYIIIIX
  E222    = ZIIIIIIIYIIIIX
  E223    = XIIIIIIIIZZIII
  E224    = YIIIIIIIIZZIII
  E225    = ZIIIIIIIIZZIII
  E226    = XIIIIIIIIZIZII
  E227    = YIIIIIIIIZIZII
  E228    = ZIIIIIIIIZIZII
  E229    = XIIIIIIIIXIIXI
  E230    = YIIIIIIIIXIIXI
  E231    = ZIIIIIIIIXIIXI
  E232    = XIIIIIIIIYIIIX
  E233    = YIIIIIIIIYIIIX
  E234    = ZIIIIIIIIYIIIX
  E235    = XIIIIIIIIIXXII
  E236    = YIIIIIIIIIXXII
  E237    = ZIIIIIIIIIXXII
  E238    = XIIIIIIIIIYYII
  E239    = YIIIIIIIIIYYII
  E240    = ZIIIIIIIIIYYII
  E241    = XIIIIIIIIIZZII
  E242    = YIIIIIIIIIZZII
  E243    = ZIIIIIIIIIZZII
  E244    = XIIIIIIIIIYIYI
  E245    = YIIIIIIIIIYIYI
  E246    = ZIIIIIIIIIYIYI
  E247    = XIIIIIIIIIYIIY
  E248    = YIIIIIIIIIYIIY
  E249    = ZIIIIIIIIIYIIY
  E250    = XIIIIIIIIIIYYI
  E251    = YIIIIIIIIIIYYI
  E252    = ZIIIIIIIIIIYYI
  E253    = XIIIIIIIIIIYIY
  E254    = YIIIIIIIIIIYIY
  E255    = ZIIIIIIIIIIYIY
  E256    = XIIIIIIIIIIIYY
  E257    = YIIIIIIIIIIIYY
  E258    = ZIIIIIIIIIIIYY
  E259    = IXXXIIIIIIIIII
  E260    = IYXXIIIIIIIIII
  E261    = IZXXIIIIIIIIII
  E262    = IXYXIIIIIIIIII
  E263    = IYYXIIIIIIIIII
  E264    = IZYXIIIIIIIIII
  E265    = IXZXIIIIIIIIII
  E266    = IYZXIIIIIIIIII
  E267    = IZZXIIIIIIIIII
  E268    = IXXYIIIIIIIIII
  E269    = IYXYIIIIIIIIII
  E270    = IZXYIIIIIIIIII
  E271    = IXYYIIIIIIIIII
  E272    = IYYYIIIIIIIIII
  E273    = IZYYIIIIIIIIII
  E274    = IXZYIIIIIIIIII
  E275    = IYZYIIIIIIIIII
  E276    = IZZYIIIIIIIIII
  E277    = IXXZIIIIIIIIII
  E278    = IYXZIIIIIIIIII
  E279    = IZXZIIIIIIIIII
  E280    = IXYZIIIIIIIIII
  E281    = IYYZIIIIIIIIII
  E282    = IZYZIIIIIIIIII
  E283    = IXZZIIIIIIIIII
  E284    = IYZZIIIIIIIIII
  E285    = IZZZIIIIIIIIII
  E286    = IXXIXIIIIIIIII
  E287    = IYXIXIIIIIIIII
  E288    = IZXIXIIIIIIIII
  E289    = IXYIXIIIIIIIII
  E290    = IYYIXIIIIIIIII
  E291    = IZYIXIIIIIIIII
  E292    = IXZIXIIIIIIIII
  E293    = IYZIXIIIIIIIII
  E294    = IZZIXIIIIIIIII
  E295    = IXXIIXIIIIIIII
  E296    = IYXIIXIIIIIIII
  E297    = IZXIIXIIIIIIII
  E298    = IXYIIXIIIIIIII
  E299    = IYYIIXIIIIIIII
  E300    = IZYIIXIIIIIIII
  E301    = IXZIIXIIIIIIII
  E302    = IYZIIXIIIIIIII
  E303    = IZZIIXIIIIIIII
  E304    = IXIXXIIIIIIIII
  E305    = IYIXXIIIIIIIII
  E306    = IZIXXIIIIIIIII
  E307    = IXIYXIIIIIIIII
  E308    = IYIYXIIIIIIIII
  E309    = IZIYXIIIIIIIII
  E310    = IXIZXIIIIIIIII
  E311    = IYIZXIIIIIIIII
  E312    = IZIZXIIIIIIIII
  E313    = IXIXIXIIIIIIII
  E314    = IYIXIXIIIIIIII
  E315    = IZIXIXIIIIIIII
  E316    = IXIYIXIIIIIIII
  E317    = IYIYIXIIIIIIII
  E318    = IZIYIXIIIIIIII
  E319    = IXIZIXIIIIIIII
  E320    = IYIZIXIIIIIIII
  E321    = IZIZIXIIIIIIII
  E322    = IXIIXXIIIIIIII
  E323    = IYIIXXIIIIIIII
  E324    = IZIIXXIIIIIIII
  E325    = IXIIYIZIIIIIII
  E326    = IYIIYIZIIIIIII
  E327    = IZIIYIZIIIIIII
  E328    = IXIIZIZIIIIIII
  E329    = IYIIZIZIIIIIII
  E330    = IZIIZIZIIIIIII
  E331    = IXIIYIIIIIIIIZ
  E332    = IYIIYIIIIIIIIZ
  E333    = IZIIYIIIIIIIIZ
  E334    = IXIIZIIIIIIIIZ
  E335    = IYIIZIIIIIIIIZ
  E336    = IZIIZIIIIIIIIZ
  E337    = IXIIIYIZIIIIII
  E338    = IYIIIYIZIIIIII
  E339    = IZIIIYIZIIIIII
  E340    = IXIIIZIZIIIIII
  E341    = IYIIIZIZIIIIII
  E342    = IZIIIZIZIIIIII
  E343    = IXIIIYIIIIIIZI
  E344    = IYIIIYIIIIIIZI
  E345    = IZIIIYIIIIIIZI
  E346    = IXIIIZIIIIIIZI
  E347    = IYIIIZIIIIIIZI
  E348    = IZIIIZIIIIIIZI
  E349    = IXIIIIXXIIIIII
  E350    = IYIIIIXXIIIIII
  E351    = IZIIIIXXIIIIII
  E352    = IXIIIIYIXIIIII
  E353    = IYIIIIYIXIIIII
  E354    = IZIIIIYIXIIIII
  E355    = IXIIIIYIIXIIII
  E356    = IYIIIIYIIXIIII
  E357    = IZIIIIYIIXIIII
  E358    = IXIIIIXIIIXIII
  E359    = IYIIIIXIIIXIII
  E360    = IZIIIIXIIIXIII
  E361    = IXIIIIXIIIIXII
  E362    = IYIIIIXIIIIXII
  E363    = IZIIIIXIIIIXII
  E364    = IXIIIIYIIIIIXI
  E365    = IYIIIIYIIIIIXI
  E366    = IZIIIIYIIIIIXI
  E367    = IXIIIIZIIIIIIZ
  E368    = IYIIIIZIIIIIIZ
  E369    = IZIIIIZIIIIIIZ
  E370    = IXIIIIIYYIIIII
  E371    = IYIIIIIYYIIIII
  E372    = IZIIIIIYYIIIII
  E373    = IXIIIIIYIYIIII
  E374    = IYIIIIIYIYIIII
  E375    = IZIIIIIYIYIIII
  E376    = IXIIIIIXIIXIII
  E377    = IYIIIIIXIIXIII
  E378    = IZIIIIIXIIXIII
  E379    = IXIIIIIXIIIXII
  E380    = IYIIIIIXIIIXII
  E381    = IZIIIIIXIIIXII
  E382    = IXIIIIIZIIIIZI
