Stage-1 undetected error set U_3
size = 11186   (weights 1/2/3/4 = 14/119/1148/9905)
  E524    = IIZIIZIIIIZIII
  E525    = IIXIIXIIIIIXII
  E526    = IIYIIYIIIIIYII
  E527    = IIZIIYIIIIIYII
  E528    = IIYIIZIIIIIYII
  E529    = IIZIIZIIIIIYII
  E530    = IIYIIYIIIIIZII
  E531    = IIZIIYIIIIIZII
  E532    = IIYIIZIIIIIZII
  E533    = IIZIIZIIIIIZII
  E534    = IIXIIXIIIIIIXI
  E535    = IIXIIXIIIIIIIX
  E536    = IIXIIIXXIIIIII
  E537    = IIXIIIYYIIIIII
  E538    = IIXIIIZYIIIIII
  E539    = IIXIIIYZIIIIII
  E540    = IIXIIIZZIIIIII
  E541    = IIXIIIXIXIIIII
  E542    = IIXIIIXIIXIIII
  E543    = IIXIIIXIIIXIII
  E544    = IIXIIIXIIIIXII
  E545    = IIXIIIXIIIIIXI
  E546    = IIXIIIXIIIIIIX
  E547    = IIXIIIIXXIIIII
  E548    = IIXIIIIXIXIIII
  E549    = IIXIIIIXIIXIII
  E550    = IIXIIIIXIIIXII
  E551    = IIXIIIIXIIIIXI
  E552    = IIXIIIIXIIIIIX
  E553    = IIXIIIIIXXIIII
  E554    = IIXIIIIIYYIIII
  E555    = IIXIIIIIZYIIII
  E556    = IIXIIIIIYZIIII
  E557    = IIXIIIIIZZIIII
  E558    = IIXIIIIIXIXIII
  E559    = IIXIIIIIXIIXII
  E560    = IIXIIIIIXIIIXI
  E561    = IIYIIIIIYIIIYI
  E562    = IIZIIIIIYIIIYI
  E563    = IIYIIIIIZIIIYI
  E564    = IIZIIIIIZIIIYI
  E565    = IIYIIIIIYIIIZI
  E566    = IIZIIIIIYIIIZI
  E567    = IIYIIIIIZIIIZI
  E568    = IIZIIIIIZIIIZI
  E569    = IIXIIIIIXIIIIX
  E570    = IIYIIIIIYIIIIY
  E571    = IIZIIIIIYIIIIY
  E572    = IIYIIIIIZIIIIY
  E573    = IIZIIIIIZIIIIY
  E574    = IIYIIIIIYIIIIZ
  E575    = IIZIIIIIYIIIIZ
  E576    = IIYIIIIIZIIIIZ
  E577    = IIZIIIIIZIIIIZ
  E578    = IIXIIIIIIXXIII
  E579    = IIXIIIIIIXIXII
